 &plot nbnd=  55, nks=   901 /
            0.000000  0.000000  0.000000
  -66.680  -66.679  -31.055  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.475   -9.747   -9.573   -9.505   -8.246   -8.246    0.563    0.866
    2.028    3.781    3.781    4.473    4.801    4.801    5.181    5.181    5.323    6.230
    6.230    6.438    6.523    6.638    6.638    7.787    8.464    9.041    9.041   12.613
   12.613   13.151   13.454   13.734   13.924
            0.000000  0.000000  0.006854
  -66.680  -66.679  -31.055  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.474   -9.747   -9.573   -9.505   -8.246   -8.246    0.563    0.866
    2.028    3.780    3.780    4.472    4.801    4.801    5.181    5.181    5.321    6.230
    6.230    6.437    6.523    6.638    6.638    7.787    8.464    9.042    9.042   12.613
   12.613   13.152   13.454   13.734   13.924
            0.000000  0.000000  0.013709
  -66.680  -66.679  -31.055  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.474   -9.746   -9.573   -9.505   -8.246   -8.246    0.563    0.866
    2.028    3.778    3.778    4.470    4.800    4.800    5.184    5.184    5.317    6.230
    6.230    6.434    6.523    6.637    6.637    7.787    8.464    9.045    9.045   12.613
   12.613   13.157   13.454   13.734   13.926
            0.000000  0.000000  0.020563
  -66.680  -66.679  -31.055  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.473   -9.744   -9.573   -9.504   -8.246   -8.246    0.563    0.866
    2.028    3.773    3.773    4.465    4.799    4.799    5.187    5.187    5.311    6.229
    6.229    6.431    6.523    6.637    6.637    7.787    8.464    9.049    9.049   12.614
   12.614   13.163   13.454   13.734   13.928
            0.000000  0.000000  0.027418
  -66.680  -66.679  -31.055  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.473   -9.743   -9.573   -9.503   -8.246   -8.246    0.563    0.866
    2.028    3.767    3.767    4.459    4.798    4.798    5.192    5.192    5.301    6.228
    6.228    6.425    6.522    6.637    6.637    7.787    8.464    9.056    9.056   12.615
   12.615   13.173   13.454   13.734   13.932
            0.000000  0.000000  0.034272
  -66.680  -66.679  -31.055  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.471   -9.740   -9.573   -9.501   -8.246   -8.246    0.563    0.866
    2.028    3.759    3.759    4.451    4.796    4.796    5.199    5.199    5.290    6.228
    6.228    6.418    6.522    6.637    6.637    7.787    8.464    9.064    9.064   12.616
   12.616   13.185   13.454   13.734   13.937
            0.000000  0.000000  0.041127
  -66.680  -66.679  -31.056  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.470   -9.737   -9.572   -9.500   -8.246   -8.246    0.564    0.866
    2.028    3.749    3.749    4.442    4.794    4.794    5.206    5.206    5.275    6.226
    6.226    6.410    6.521    6.637    6.637    7.787    8.465    9.073    9.073   12.617
   12.617   13.200   13.454   13.734   13.942
            0.000000  0.000000  0.047981
  -66.680  -66.679  -31.056  -31.050  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.469   -9.734   -9.572   -9.498   -8.246   -8.246    0.564    0.866
    2.029    3.738    3.738    4.431    4.792    4.792    5.214    5.214    5.258    6.225
    6.225    6.400    6.520    6.637    6.637    7.787    8.465    9.085    9.085   12.619
   12.619   13.217   13.454   13.734   13.949
            0.000000  0.000000  0.054836
  -66.680  -66.679  -31.056  -31.051  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.467   -9.729   -9.572   -9.495   -8.245   -8.245    0.564    0.866
    2.029    3.725    3.725    4.418    4.789    4.789    5.224    5.224    5.238    6.224
    6.224    6.390    6.519    6.637    6.637    7.787    8.465    9.098    9.098   12.621
   12.621   13.237   13.454   13.734   13.957
            0.000000  0.000000  0.061690
  -66.680  -66.679  -31.056  -31.051  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
  -20.831  -20.831  -20.829  -20.829  -20.828  -20.828  -20.817  -20.816  -20.772  -20.772
  -20.769  -20.769  -10.465   -9.725   -9.572   -9.493   -8.245   -8.245    0.564    0.866
    2.030    3.711    3.711    4.403    4.786    4.786    5.216    5.234    5.234    6.224
    6.224    6.377    6.518    6.637    6.637    7.787    8.465    9.113    9.113   12.623
   12.623   13.259   13.454   13.734   13.966
            0.000000  0.000000  0.068545
  -66.680  -66.679  -31.057  -31.051  -30.994  -30.994  -30.915  -30.915  -20.838  -20.837
